economy,Country_name,Year,Population_of_compulsory_school_age_both_sexes_number,Repeaters_in_Grade_5_of_lower_secondary_general_education_female_number,Repeaters_in_grade_unknown_of_lower_secondary_general_education_both_sexes_numbe,School_age_population_last_grade_of_primary_education_female_number,School_age_population_lower_secondary_education_both_sexes_number,School_age_population_primary_education_both_sexes_number,School_age_population_secondary_education_female_number,School_age_population_tertiary_education_male_number,School_age_population_upper_secondary_education_both_sexes_number,School_life_expectancy_primary_female_years
ARG,Argentina,1998,6780050.0,,,,,,,,,
ARG,Argentina,1999,6835595.0,,,,,,,,,
ARG,Argentina,2000,6895121.0,,,,,,,,,
ARG,Argentina,2001,6946631.0,,,,,,,,,
ARG,Argentina,2002,6985331.0,,,,,,,,,
ARG,Argentina,2003,7011393.0,,,,,,,,,
ARG,Argentina,2004,7031720.0,,,,,,,,,
ARG,Argentina,2005,7052849.0,,,,,,,,,
ARG,Argentina,2006,9105161.0,,,,,,,,,
ARG,Argentina,2007,9123334.0,,,,,,,,,
ARG,Argentina,2008,9135420.0,,,,,,,,,
ARG,Argentina,2009,9131351.0,,,,,,,,,
ARG,Argentina,2010,9125517.0,,,,,,,,,
ARG,Argentina,2011,9122286.0,,,,,,,,,
ARG,Argentina,2012,9114598.0,,,,,,,,,
ARG,Argentina,2013,9102425.0,,,,,,,,,
ARG,Argentina,2014,9095208.0,,,,,,,,,
ARG,Argentina,2015,9829367.0,,,,,,,,,
ARG,Argentina,2016,9860755.0,,,,,,,,,
ARG,Argentina,2017,9896812.0,,,,,,,,,
ARG,Argentina,2018,9930445.0,,,,,,,,,
ARG,Argentina,2019,9969226.0,,,,,,,,,
ARG,Argentina,2020,10014925.0,,,,,,,,,
ARG,Argentina,2021,10045193.0,,,,,,,,,
ARG,Argentina,2022,10058456.0,,,,,,,,,
ARG,Argentina,2023,10029560.0,,,,,,,,,
BGR,Bulgaria,1971,,,,,,,,,,4.019569873809814
BGR,Bulgaria,1972,,,,,,,,,,3.927390098571777
BGR,Bulgaria,1973,,,,,,,,,,3.8434898853302
BGR,Bulgaria,1974,,,,,,,,,,3.756109952926636
BGR,Bulgaria,1975,,,,,,,,,,3.637809991836548
BGR,Bulgaria,1976,,,,,,,,,,3.659280061721802
BGR,Bulgaria,1977,,,,,,,,,,3.663980007171631
BGR,Bulgaria,1978,,,,,,,,,,3.714339971542358
BGR,Bulgaria,1979,,,,,,,,,,3.728399991989136
BGR,Bulgaria,1980,,,,,,,,,,3.767460107803345
BGR,Bulgaria,1981,,,,,,,,,,3.842339992523193
BGR,Bulgaria,1982,,,,,,,,,,3.968689918518066
BGR,Bulgaria,1983,,,,,,,,,,4.027649879455566
BGR,Bulgaria,1984,,,,,,,,,,4.076759815216064
BGR,Bulgaria,1985,,,,,,,,,,4.143280029296875
BGR,Bulgaria,1986,,,,,,,,,,4.156320095062256
BGR,Bulgaria,1987,,,,,,,,,,4.255720138549805
BGR,Bulgaria,1988,,,,,,,,,,4.248410224914551
BGR,Bulgaria,1989,,,,,,,,,,4.193910121917725
BGR,Bulgaria,1990,,,,,,,,,,3.896009922027588
BGR,Bulgaria,1991,,,,,,,,,,3.808939933776855
BGR,Bulgaria,1992,,,,,,,,,,3.737540006637573
BGR,Bulgaria,1993,,,,,,,,,,3.713579893112183
BGR,Bulgaria,1994,,,,,,,,,,3.736860036849976
BGR,Bulgaria,1995,,,,,,,,,,3.789279937744141
BGR,Bulgaria,1996,,,,,,,,,,3.906800031661987
BGR,Bulgaria,1997,,,,,,,,,,3.960649967193604
BGR,Bulgaria,1998,,,,,,,,,,4.03603982925415
BGR,Bulgaria,1999,,,,,,,,,,4.095570087432861
BGR,Bulgaria,2000,,,,,,,,,,4.134469985961914
BGR,Bulgaria,2001,,,,,,,,,,4.148839950561523
BGR,Bulgaria,2002,,,,,,,,,,4.326429843902588
BGR,Bulgaria,2003,,,,,,,,,,4.399370193481445
BGR,Bulgaria,2004,,,,,,,,,,4.408349990844727
BGR,Bulgaria,2005,,,,,,,,,,4.366980075836182
BGR,Bulgaria,2006,,,,,,,,,,4.275579929351807
BGR,Bulgaria,2007,,,,,,,,,,4.201940059661865
BGR,Bulgaria,2008,,,,,,,,,,4.138259887695313
BGR,Bulgaria,2009,,,,,,,,,,4.070899963378906
BGR,Bulgaria,2010,,,,,,,,,,4.052579879760742
BGR,Bulgaria,2011,,,,,,,,,,4.033830165863037
BGR,Bulgaria,2012,,,,,,,,,,3.992419958114624
BGR,Bulgaria,2013,,,,,,,,,,3.957779884338379
BGR,Bulgaria,2014,,,,,,,,,,3.963249921798706
BGR,Bulgaria,2015,,,,,,,,,,3.928750038146973
BGR,Bulgaria,2016,,,,,,,,,,3.854010105133057
BGR,Bulgaria,2017,,,,,,,,,,3.796469926834106
BGR,Bulgaria,2018,,,,,,,,,,3.734879970550537
BGR,Bulgaria,2019,,,,,,,,,,3.636660099029541
BGR,Bulgaria,2020,,,,,,,,,,3.555490016937256
BGR,Bulgaria,2021,,,,,,,,,,3.484859943389893
BIH,Bosnia and Herzegovina,1970,,,,,,,353197.0,,,
BIH,Bosnia and Herzegovina,1971,,,,,,,356159.0,,,
BIH,Bosnia and Herzegovina,1972,,,,,,,358007.0,,,
BIH,Bosnia and Herzegovina,1973,,,,,,,358381.0,,,
BIH,Bosnia and Herzegovina,1974,,,,,,,358273.0,,,
BIH,Bosnia and Herzegovina,1975,,,,,,,357441.0,,,
BIH,Bosnia and Herzegovina,1976,,,,,,,356157.0,,,
BIH,Bosnia and Herzegovina,1977,,,,,,,353018.0,,,
BIH,Bosnia and Herzegovina,1978,,,,,,,348424.0,,,
BIH,Bosnia and Herzegovina,1979,,,,,,,342732.0,,,
BIH,Bosnia and Herzegovina,1980,,,,,,,336279.0,,,
BIH,Bosnia and Herzegovina,1981,,,,,,,330035.0,,,
BIH,Bosnia and Herzegovina,1982,,,,,,,324220.0,,,
BIH,Bosnia and Herzegovina,1983,,,,,,,318915.0,,,
BIH,Bosnia and Herzegovina,1984,,,,,,,313899.0,,,
BIH,Bosnia and Herzegovina,1985,,,,,,,309704.0,,,
BIH,Bosnia and Herzegovina,1986,,,,,,,306300.0,,,
BIH,Bosnia and Herzegovina,1987,,,,,,,303007.0,,,
BIH,Bosnia and Herzegovina,1988,,,,,,,299506.0,,,
BIH,Bosnia and Herzegovina,1989,,,,,,,295300.0,,,
BIH,Bosnia and Herzegovina,1990,,,,,,,290805.0,,,
BIH,Bosnia and Herzegovina,1991,,,,,,,286871.0,,,
BIH,Bosnia and Herzegovina,1992,,,,,,,284393.0,,,
BIH,Bosnia and Herzegovina,1993,,,,,,,265928.0,,,
BIH,Bosnia and Herzegovina,1994,,,,,,,262165.0,,,
BIH,Bosnia and Herzegovina,1995,,,,,,,260054.0,,,
BIH,Bosnia and Herzegovina,1996,,,,,,,269672.0,,,
BIH,Bosnia and Herzegovina,1997,,,,,,,278130.0,,,
BIH,Bosnia and Herzegovina,1998,,,,,,,279672.0,,,
BIH,Bosnia and Herzegovina,1999,,,,,,,276664.0,,,
BIH,Bosnia and Herzegovina,2000,,,,,,,271742.0,,,
BIH,Bosnia and Herzegovina,2001,,,,,,,264630.0,,,
BIH,Bosnia and Herzegovina,2002,,,,,,,256768.0,,,
BIH,Bosnia and Herzegovina,2003,,,,,,,247206.0,,,
BIH,Bosnia and Herzegovina,2004,,,,,,,234905.0,,,
BIH,Bosnia and Herzegovina,2005,,,,,,,221353.0,,,
BIH,Bosnia and Herzegovina,2006,,,,,,,209710.0,,,
BIH,Bosnia and Herzegovina,2007,,,,,,,199998.0,,,
BIH,Bosnia and Herzegovina,2008,,,,,,,193729.0,,,
BIH,Bosnia and Herzegovina,2009,,,,,,,188369.0,,,
BIH,Bosnia and Herzegovina,2010,,,,,,,187862.0,,,
BIH,Bosnia and Herzegovina,2011,,,,,,,182685.0,,,
BIH,Bosnia and Herzegovina,2012,,,,,,,179522.0,,,
BIH,Bosnia and Herzegovina,2013,,,,,,,178879.0,,,
BIH,Bosnia and Herzegovina,2014,,,,,,,172578.0,,,
BIH,Bosnia and Herzegovina,2015,,,,,,,164296.0,,,
BIH,Bosnia and Herzegovina,2016,,,,,,,155674.0,,,
BIH,Bosnia and Herzegovina,2017,,,,,,,147688.0,,,
BIH,Bosnia and Herzegovina,2018,,,,,,,141636.0,,,
BIH,Bosnia and Herzegovina,2019,,,,,,,137760.0,,,
BIH,Bosnia and Herzegovina,2020,,,,,,,135207.0,,,
BIH,Bosnia and Herzegovina,2021,,,,,,,133488.0,,,
BIH,Bosnia and Herzegovina,2022,,,,,,,132045.0,,,
BIH,Bosnia and Herzegovina,2023,,,,,,,132105.0,,,
BOL,Bolivia,1970,,,0.0,,,,,,,
BOL,Bolivia,1971,,,0.0,,,,,,,
BOL,Bolivia,1972,,,0.0,,,,,,,
BOL,Bolivia,1973,,,0.0,,,,,,,
BOL,Bolivia,1974,,,0.0,,,,,,,
BOL,Bolivia,1975,,,0.0,,,,,,,
BOL,Bolivia,1976,,,0.0,,,,,,,
BOL,Bolivia,1977,,,0.0,,,,,,,
BOL,Bolivia,1978,,,0.0,,,,,,,
BOL,Bolivia,1979,,,0.0,,,,,,,
BOL,Bolivia,1980,,,0.0,,,,,,,
BOL,Bolivia,1981,,,0.0,,,,,,,
BOL,Bolivia,1982,,,0.0,,,,,,,
BOL,Bolivia,1983,,,0.0,,,,,,,
BOL,Bolivia,1984,,,0.0,,,,,,,
BOL,Bolivia,1985,,,0.0,,,,,,,
