Country name,avg_all_roots_z_M,avg_all_roots_z_F,n_roots_used,diff_abs_F_M_z
Afghanistan,-1.008811787439846,-1.5864883660298248,2,0.5776765785899789
Albania,-0.3817498983982793,-0.26453886159327444,23,0.11721103680500483
Algeria,-0.3122154024279841,-0.15685722493146245,34,0.15535817749652167
Angola,-1.4793981170924366,-1.8792111673454652,2,0.3998130502530286
Antigua and Barbuda,-0.16652150476250743,-0.027104864319075495,2,0.13941664044343194
Argentina,-0.17302106446147603,-0.12647311189265986,28,0.046547952568816164
Armenia,0.014930194282890838,0.02005228760395974,31,0.0051220933210689
Australia,0.1808951344834375,0.09839890476661149,37,0.082496229716826
Austria,-0.18065222224772368,-0.21003103740094942,31,0.02937881515322574
Azerbaijan,-0.14767285095091703,-0.09932359812697275,31,0.04834925282394428
Bahrain,0.1171428414950704,-0.006920954100155557,28,0.12406379559522596
Bangladesh,0.5946725914673985,0.6158771805627266,7,0.021204589095328075
Belarus,0.23888644648705093,0.18647429643759986,11,0.05241215004945107
Belgium,0.022445980570859107,-0.04321481811964818,37,0.06566079869050728
Belize,0.6615873911049601,0.6659230815595653,12,0.0043356904546051345
Benin,0.14330791604840215,0.16495764419449543,23,0.021649728146093283
Bhutan,-0.5835287387051951,-0.763804022876119,2,0.18027528417092398
Bosnia and Herzegovina,-0.4411305763103458,-0.39567213733978823,23,0.04545843897055757
Botswana,0.22929571370281332,0.10319591688855421,36,0.1260997968142591
Brazil,-0.09217767342370602,-0.15245768909655197,24,0.06028001567284595
Brunei Darussalam,-0.4905182582720496,-0.4424391104640389,11,0.0480791478080107
Bulgaria,-0.041781892169465956,0.017366503937392887,37,0.05914839610685885
Burkina Faso,0.5465236428254245,0.48967219076809554,25,0.056851452057329
Burundi,-0.023097364561748563,-0.05031243966613475,24,0.02721507510438619
Cambodia,-0.0012924522560530647,-0.10841128843812589,23,0.10711883618207282
Cameroon,0.22398485178197647,0.433471416980722,25,0.20948656519874553
Canada,0.09118461344390702,0.05218003768049507,37,0.03900457576341195
Chad,0.4496998067467435,0.6053752030264683,25,0.15567539627972482
Chile,-0.13082476440909827,-0.13152718868235305,40,7.02424273254787E-4
China,0.4644158982212737,0.36411726212883494,2,0.10029863609243878
Colombia,-0.14897455735090778,-0.1312268587960491,40,0.017747698554858693
Comoros,-0.7041441180096171,-0.9054419240294479,2,0.20129780601983083
"Congo, Dem. Rep.",0.17105598114803905,0.16361034596700402,20,0.007445635181035026
"Congo, Rep.",0.276365927610685,0.21366809346692658,25,0.06269783414375843
Costa Rica,-0.3697645892163148,-0.4101197712514984,25,0.04035518203518362
Croatia,-0.15271562624304955,-0.16825311042369218,23,0.01553748418064263
Cuba,0.3554950163220334,0.2873000786000229,6,0.06819493772201052
Cyprus,-0.12427112638348546,-0.16406462567600286,28,0.039793499292517395
Czechia,-0.16628801649010075,-0.12706106067829534,37,0.03922695581180541
C�te d�Ivoire,0.13383766174076442,0.1771415503804888,23,0.04330388863972437
Denmark,-0.039205863970148976,-0.08456004945269718,34,0.04535418548254821
Dominica,-0.15003211863564764,0.004841318951420953,2,0.1548734375870686
Dominican Republic,-0.22327758019279634,-0.23606585931043458,25,0.012788279117638246
East Asia & Pacific,0.23235267009433502,0.17171484095216885,5,0.06063782914216617
East Asia & Pacific (excluding high income),0.3426492497933942,0.2651618029104599,5,0.0774874468829343
Ecuador,0.471207668803503,0.43609972069453334,25,0.03510794810896967
"Egypt, Arab Rep.",0.5055147192092017,0.4404661342086546,19,0.06504858500054705
El Salvador,0.2249225469389767,0.3415161489500401,28,0.11659360201106342
Estonia,0.7176146424260467,0.7032369257479623,17,0.014377716678084407
Eswatini,-0.9981791909735698,-0.9603751077530737,5,0.03780408322049611
Ethiopia,-1.205725539718899,-1.4401892666604548,2,0.2344637269415557
Europe & Central Asia,-0.4462480779609345,-0.40312579899728246,5,0.04312227896365206
